    0    5    9 1     623.200   9.758
    0    3   10 1     307.100   9.752
    3    6    0 1      57.300   9.735
    0    8    6 1     661.200   9.715
    2    0    9 1      44.400   9.714
    0    9    4 1     244.200   9.713
    3    6    1 1      56.700   9.691
    1    9    3 1     531.500   9.686
    1    2   10 1     226.600   9.677
    3    4    5 1     639.800   9.673
    2    1    9 1     151.800   9.663
    2    7    5 1    1050.100   9.638
    2    4    8 1     258.300   9.634
    3    5    4 1     757.900   9.604
    1    6    8 1     767.700   9.603
    1    7    7 1      42.800   9.590
    2    8    3 1     114.000   9.567
    3    6    2 1     590.700   9.564
    3    3    6 1     264.100   9.557
    2    2    9 1      52.700   9.515
    3    0    7 1      80.300   9.459
    0   10    0 1      49.200   9.446
    1    5    9 1     379.200   9.438
    1    3   10 1     169.400   9.432
    3    1    7 1     243.600   9.412
    0    4   10 1     143.700   9.407
    0   10    1 1     109.600   9.406
    1    8    6 1     265.500   9.399
    1    9    4 1     168.400   9.398
    3    6    3 1     803.000   9.363
    0    9    5 1     520.600   9.343
    0    0   11 1       0.000   9.324
    0    7    8 1    1005.000   9.294
    4    0    0 0       0.000   9.290
    0   10    2 1     163.700   9.290
    2    6    7 1     676.700   9.289
    2    8    4 1     388.500   9.289
    2    3    9 1      69.100   9.282
    0    1   11 1      67.000   9.279
    3    2    7 1     194.100   9.275
    4    0    1 1     450.000   9.252
    3    5    5 1     253.400   9.246
    4    1    0 1     528.800   9.245
    3    4    6 1     630.100   9.232
    0    6    9 1     166.100   9.231
    2    5    8 1     659.400   9.212
    4    1    1 1     271.100   9.208
    2    7    6 1     621.600   9.202
    0    8    7 1     916.600   9.194
    1   10    0 1     104.500   9.155
    0    2   11 1     206.100   9.147
    4    0    2 1     863.800   9.141
    2    9    0 1     113.800   9.138
    3    7    0 1      83.900   9.125
    1    4   10 1     324.800   9.119
    1   10    1 1      93.700   9.119
    4    2    0 0       0.000   9.115
    0   10    3 1      24.400   9.105
    2    9    1 1     316.700   9.102
    3    6    4 2     268.000   9.101
    4    1    2 1     872.500   9.099
    3    7    1 1     388.400   9.089
    4    2    1 1     867.700   9.080
    1    9    5 2     618.800   9.061
    3    3    7 1     296.900   9.059
    1    0   11 1      47.000   9.043
    1    7    8 1     159.900   9.017
    0    5   10 1      78.700   9.013
