    6    2    6 1    947.2   32.2  16.098
    6    3    5 1   3252.8   64.1  16.038
    3    3    8 1   2556.6   74.2  15.972
    7    3    3 1   4591.8   82.1  15.952
    8    0    5 1   3595.5   99.1  15.946
    8    2    2 1   1602.6   41.1  15.926
    8    1    4 1    818.8   33.8  15.899
    4    2    8 1   2993.8   61.0  15.881
    2    2    9 1   2249.7   74.9  15.881
    6    1    7 1   1994.9   44.5  15.803
    3    1    9 1   5148.7  105.5  15.791
    9    0    3 1   2374.6   61.8  15.773
    5    5    4 1   2704.3   79.7  15.721
    7    2    5 1   2538.2   51.1  15.680
    7    1    6 1    454.9   30.5  15.649
    6    5    0 1   2580.9   72.1  15.640
    9    1    0 1   1951.4   62.3  15.640
    6    4    4 1   1097.9   34.5  15.635
    5    1    8 1    728.6   29.9  15.618
    6    5    1 1   2474.0   49.7  15.560
    9    1    1 1   1061.8   30.8  15.560
    4    0    9 1    327.3   50.6  15.532
    8    2    3 1   3453.3   67.1  15.515
    7    4    0 1   1274.9   38.2  15.471
    7    4    1 1    951.7   27.2  15.393
    7    3    4 1   1299.9   37.8  15.383
    4    4    7 1   4175.7  113.1  15.377
    6    5    2 1   1101.6   34.7  15.326
    9    1    2 1   1403.0   36.8  15.326
    5    4    6 1   1404.3   38.7  15.316
    5    3    7 1   1396.0   36.7  15.296
    7    0    7 1   4089.9  113.2  15.296
    1    0   10 1   1513.1   63.1  15.295
    3    2    9 1   4765.1  114.5  15.286
    9    0    4 1   1819.2   59.2  15.222
    6    0    8 1   3562.9  101.0  15.207
    8    1    5 1   1548.9   38.2  15.185
    7    4    2 1   1525.5   37.5  15.167
    6    3    6 1    396.3   31.2  15.157
    8    3    0 1   4855.6  122.1  15.149
    1    1   10 1   1526.5   67.5  15.137
    4    3    8 1   1228.7   38.3  15.128
    4    1    9 1   4963.5  104.9  15.128
    8    0    6 1    659.2   44.6  15.079
    8    3    1 1   1880.5   42.8  15.076
    6    2    7 1   3966.2   78.3  15.061
    2    0   10 1    855.8   52.5  15.059
    5    5    5 1   3898.0  112.1  15.030
    8    2    4 1    844.7   31.2  14.990
    5    2    8 1    834.1   33.2  14.975
    6    5    3 1   3206.4   63.4  14.959
    9    1    3 1    859.3   30.2  14.959
    6    4    5 1   2170.1   48.4  14.954
   10    0    0 1   3325.7  140.1  14.920
    8    3    2 1   2082.6   46.9  14.863
    7    2    6 1   1642.2   43.0  14.853
   10    0    1 1   1119.7   47.8  14.850
    2    1   10 1   2759.4   68.2  14.834
    5    0    9 1   5386.2  160.1  14.826
    7    4    3 1   3315.7   67.8  14.811
    7    3    5 1   2585.4   54.9  14.734
    9    2    0 1   3399.1   93.0  14.701
    7    1    7 1   1357.4   35.6  14.691
    3    0   10 1   2008.7   77.7  14.690
    6    1    8 1    714.2   32.3  14.682
    3    3    9 1    477.0   54.9  14.682
   10    0    2 1   3793.1  106.0  14.647
    9    2    1 1    314.2   30.3  14.634
    4    2    9 1   3592.4   78.6  14.611
    9    0    5 1   3389.9   97.1  14.592
    8    3    3 1   2309.7   52.2  14.527
    9    1    4 1    727.8   28.6  14.487
    6    5    4 1   1319.3   38.1  14.487
    2    2   10 1   5016.3  160.6  14.481
    9    2    2 1   2277.6   50.9  14.439
    8    1    6 1    544.5   30.1  14.431
    5    4    7 1   3301.4   66.1  14.414
    3    1   10 1   2701.2   63.2  14.413
    5    1    9 1   2265.3   53.8  14.406
    8    2    5 1   2871.9   61.1  14.387
    6    6    0 1   2199.5   94.4  14.357
    7    4    4 1    618.3   29.8  14.352
    4    4    8 1   1440.4   58.9  14.339
   10    0    3 1   1484.7   53.5  14.325
    5    5    6 1   1414.1   51.1  14.297
    6    6    1 2   1121.9   44.1  14.294
    7    5    0 1   3157.9   88.8  14.291
    6    3    7 1   2526.8   53.8  14.282
    7    0    8 1    381.9   47.9  14.274
    5    3    8 1   5080.3  104.3  14.274
    6    4    6 1    394.3   26.3  14.232
    7    5    1 1   2783.4   55.1  14.229
    8    0    7 1   4738.9  126.6  14.217
    4    0   10 1   2954.5   90.8  14.215
   10    1    0 1    979.5   43.6  14.161
    9    2    3 1   2583.1   58.5  14.131
    6    6    2 1    981.3   48.1  14.113
   10    1    1 1   1110.8   34.9  14.102
    8    4    0 1   3582.6   98.6  14.098
    8    3    4 1   2020.3   45.8  14.094
    6    2    8 1   1839.7   44.8  14.082
    6    0    9 1    758.2   47.9  14.081
    7    5    2 1   1963.2   43.9  14.050
    7    3    6 1   1684.2   42.8  14.042
    8    4    1 1   1040.0   34.5  14.039
    7    2    7 1   4149.4   80.0  14.027
    3    2   10 1   4580.3   84.2  14.026
    4    3    9 1   2235.1   52.3  14.019
    6    5    5 1   2997.8   61.2  13.941
    9    1    5 2    975.3   33.0  13.941
   10    1    2 1    898.7   28.7  13.927
    9    0    6 1   2833.9  102.7  13.919
    1    0   11 1   2928.4   95.6  13.917
   10    0    4 1   3440.2  105.4  13.909
