    4    4    7 1    639.8   10.7  13.485
    9    1    2 1    806.4    9.4  13.472
    4    0    8 1   1692.9   23.0  13.438
    4    1    8 1   1589.7   16.4  13.362
    5    3    7 1   1846.7   22.4  13.332
    6    5    5 1   1233.0   14.1  13.300
    7    0    6 1    144.8    4.1  13.286
    3    3    8 1   1217.5   17.5  13.286
    8    5    0 1   1802.0   35.1  13.276
    7    6    2 1   2186.5   29.8  13.244
    9    2    2 1    250.0    3.9  13.244
    6    6    4 1   1995.9   31.5  13.223
    5    5    6 1    413.5    8.1  13.212
    7    1    6 1   1454.7   15.4  13.212
    8    4    3 1   1707.9   20.3  13.204
    9    3    0 1    880.8   14.5  13.202
    8    5    1 1   2001.7   25.4  13.194
    6    0    7 1   1305.1   23.6  13.183
    1    0    9 1    931.8   12.4  13.152
    8    3    4 1   2426.1   25.3  13.149
    4    2    8 1   1588.9   17.2  13.139
    9    0    3 1    649.2   10.0  13.131
    9    3    1 1   1803.3   20.7  13.121
    6    1    7 1   1120.2   13.5  13.111
    8    0    5 1    526.2    7.9  13.080
    1    1    9 1    244.1    4.0  13.080
    7    5    4 1    419.7    5.7  13.078
    6    4    6 1   2544.2   27.9  13.067
    9    1    3 1   3772.4   37.1  13.060
    8    1    5 1   2288.0   22.8  13.009
    7    4    5 1   2426.7   28.3  13.009
    7    2    6 1   2031.2   20.7  12.997
    8    5    2 1   1690.5   20.2  12.957
    2    0    9 1    345.9    5.4  12.940
    6    2    7 1    339.3    4.2  12.900
    9    3    2 1   1064.8   11.4  12.888
    2    1    9 1    807.8    8.0  12.871
    9    2    3 1    860.2    8.8  12.852
    7    6    3 1   1642.5   20.2  12.852
    5    4    7 1    969.3   11.8  12.833
    8    2    5 1    453.8    5.4  12.804
    5    0    8 1    599.4   10.1  12.792
    4    3    8 1   1025.9   12.4  12.792
    5    1    8 1    888.0   10.5  12.726
    9    4    0 1   2878.0   47.5  12.716
    2    2    9 1    242.9    4.3  12.672
    8    4    4 1   2521.0   27.1  12.670
    7    3    6 1    566.5    7.0  12.660
    7    7    0 1   1293.4   36.8  12.651
    9    4    1 1   1185.9   14.0  12.644
    3    0    9 1   1479.7   20.2  12.608
    9    0    4 1   2489.4   35.1  12.605
    8    5    3 1   2646.1   30.0  12.589
    7    7    1 1    936.4   17.7  12.580
    6    3    7 1   2107.4   23.3  12.571
    6    6    5 1    106.6    6.3  12.544
    3    1    9 1   1038.0   10.0  12.544
    9    1    4 1   1319.0   13.2  12.542
    5    2    8 1   1279.1   14.0  12.533
    9    3    3 1   2294.4   22.4  12.526
    8    6    0 1   2583.5   49.9  12.524
   10    0    0 1   1707.1   41.0  12.524
    8    3    5 1   1270.7   13.7  12.482
    6    5    6 1   1658.0   17.6  12.471
   10    1    0 1    217.9    6.2  12.462
   10    0    1 1    624.8   10.4  12.455
    8    6    1 1   2028.3   25.7  12.455
    9    4    2 1   2284.1   24.6  12.436
    7    5    5 1   2110.2   24.1  12.420
   10    1    1 1    856.4    9.8  12.394
    7    7    2 1    910.9   16.3  12.375
    3    2    9 1   1493.6   15.0  12.360
    9    2    4 1   2256.6   22.5  12.357
    7    6    4 1    788.9   10.2  12.357
    4    4    8 1   2868.1   47.0  12.349
    7    0    7 1   1406.1   21.2  12.325
    8    0    6 1   2032.1   28.8  12.289
   10    2    0 1   2183.7   36.5  12.281
    7    1    7 1    401.9    5.0  12.266
    5    5    7 1   2105.8   31.2  12.266
   10    0    2 1   3552.4   47.5  12.256
    8    6    2 1   1083.8   13.4  12.256
    7    4    6 1   2062.5   23.5  12.231
    8    1    6 1   1887.6   19.0  12.231
    5    3    8 1    986.4   11.3  12.231
   10    2    1 1    475.3    6.0  12.216
   10    1    2 1   1168.2   11.6  12.197
    4    0    9 1    683.5   10.8  12.183
    9    5    0 1    398.7    8.2  12.164
    6    4    7 1    553.9    6.9  12.150
    4    1    9 1    399.9    4.8  12.126
    8    5    4 1   1179.9   13.5  12.124
    6    0    8 1    931.2   15.1  12.116
    9    4    3 1    476.9    5.9  12.110
    9    5    1 1   1244.3   15.8  12.101
    7    2    7 1    654.7    7.2  12.093
    8    4    5 1    748.9    8.7  12.069
    3    3    9 1   1208.7   17.4  12.069
    9    3    4 1    593.5    6.5  12.067
    8    2    6 1    872.2    9.3  12.059
    6    1    8 1   2122.9   23.4  12.059
    7    7    3 1    136.6    6.6  12.053
   10    2    2 1   2245.4   21.9  12.027
    9    0    5 1    271.6    5.2  12.014
   10    3    0 1    282.3    6.1  11.996
    9    1    5 1   1860.3   20.6  11.959
    4    2    9 1    751.8    8.0  11.959
   10    0    3 1    797.4   12.0  11.943
    8    6    3 1    817.5   11.0  11.943
   10    3    1 1    605.7    7.0  11.935
    9    5    2 1    245.5    4.6  11.918
    6    2    8 1   1913.7   21.3  11.895
   10    1    3 1   2790.6   28.2  11.889
    1    0   10 1    626.3    8.6  11.849
    6    6    6 1    915.6   15.1  11.842
    5    4    8 1   2204.1   24.3  11.842
    7    3    7 1   2267.8   25.6  11.821
    9    2    5 1   1506.1   16.9  11.798
    7    6    5 1   1144.8   15.4  11.798
    1    1   10 1   1093.0   14.5  11.797
    8    3    6 1   1723.0   20.3  11.789
    8    7    0 1   1071.7   21.8  11.782
   10    3    2 1   2142.4   22.5  11.759
    7    5    6 1    342.4    5.0  11.737
   10    2    3 1    703.8    7.9  11.732
    8    7    1 1   1910.2   26.2  11.724
    5    0    9 1    933.4   13.8  11.695
    4    3    9 1   1646.1   17.7  11.695
    9    4    4 1   1268.9   15.3  11.693
    2    0   10 1    270.8    5.0  11.693
    6    5    7 1   2164.1   23.9  11.666
    5    1    9 1   1587.6   16.4  11.644
    7    7    4 1    739.7   15.3  11.643
    2    1   10 1   1061.6   10.4  11.643
    6    3    8 1   2484.0   28.1  11.635
    9    5    3 1   1535.4   20.5  11.630
   10    4    0 1   1970.7   31.0  11.628
    8    5    5 1    575.4    8.0  11.594
    9    6    0 1   1168.6   23.5  11.579
   10    4    1 1   1391.1   15.4  11.573
    8    7    2 1    673.0    9.4  11.557
    9    3    5 1   2657.6   30.0  11.545
   10    0    4 1    121.7    6.2  11.543
    8    6    4 1    330.2    6.1  11.543
    9    6    1 1   1051.6   15.8  11.524
    8    0    7 1   1409.7   22.4  11.517
    5    2    9 1   2614.3   25.3  11.496
   10    1    4 1   1493.6   17.2  11.495
    2    2   10 1    304.4    5.2  11.495
   10    3    3 1   1531.4   17.6  11.483
    8    1    7 1   1228.0   14.8  11.469
    7    4    7 1   2010.2   24.3  11.469
    3    0   10 1    116.7    5.8  11.446
    8    4    6 1   3301.7   39.5  11.440
    7    0    8 1    274.8    6.2  11.440
   10    4    2 1   2313.5   28.0  11.413
    3    1   10 1    914.2    9.9  11.399
    9    0    6 1   1607.8   26.7  11.392
    5    5    8 1   1700.9   26.7  11.392
    7    1    8 1    265.9    3.9  11.392
   11    0    0 1    957.1   21.1  11.386
    9    6    2 1   1642.1   22.7  11.365
    4    4    9 1    976.0   15.8  11.354
   10    2    4 1    650.8    8.1  11.352
    9    1    6 1   1368.0   15.8  11.345
   11    1    0 1    766.2   12.3  11.339
